CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74845570;-16,71634;-49,24322;74110030;-16,68026;-49,27224
74805020;-16,69760;-49,24321;74405010;-16,68091;-49,30006
74805020;-16,69760;-49,24321;74405010;-16,68091;-49,30006
74595221;-16,63185;-49,28959;74423325;-16,68356;-49,31807
74355423;-16,78451;-49,36052;74415420;-16,69134;-49,31524
74355423;-16,78451;-49,36052;74415420;-16,69134;-49,31524
74835560;-16,72885;-49,28555;74840090;-16,73865;-49,28498
74835560;-16,72885;-49,28555;74840090;-16,73865;-49,28498
74835560;-16,72885;-49,28555;74840090;-16,73865;-49,28498
74670340;-16,64372;-49,24592;74805480;-16,70320;-49,23320
74255320;-16,70535;-49,29412;74810350;-16,70653;-49,23486
74255320;-16,70535;-49,29412;74810350;-16,70653;-49,23486
74594020;-16,62464;-49,31253;74445190;-16,65211;-49,31761
74594020;-16,62464;-49,31253;74445190;-16,65211;-49,31761
74594020;-16,62464;-49,31253;74445190;-16,65211;-49,31761
74594020;-16,62464;-49,31253;74445190;-16,65211;-49,31761
74594020;-16,62464;-49,31253;74445190;-16,65211;-49,31761
