CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74323250;-16,70378;-49,31674;74323250;-16,70378;-49,31674
74345220;-16,74641;-49,29388;74330670;-16,71913;-49,30817
74394200;-16,72860;-49,41194;74394200;-16,72860;-49,41194
74350020;-16,75025;-49,32390;74350020;-16,75025;-49,32390
74491716;-16,68128;-49,44035;74555561;-16,63480;-49,31503
74840270;-16,73673;-49,27569;74840270;-16,73673;-49,27569
74180150;-16,69959;-49,25991;74180150;-16,69959;-49,25991
74463800;-16,64460;-49,33422;74463800;-16,64460;-49,33422
74413100;-16,69174;-49,30825;74413100;-16,69174;-49,30825
74663350;-16,62803;-49,24887;74663350;-16,62803;-49,24887
74810250;-16,69744;-49,24286;74884115;-16,69943;-49,22607
74423060;-16,68505;-49,31335;74405010;-16,68091;-49,30006
74565220;-16,64398;-49,27586;74565220;-16,64398;-49,27586
74475224;-16,61632;-49,32393;74475224;-16,61632;-49,32393
74484422;-16,69990;-49,35833;74484423;-16,69608;-49,35007
74850320;-16,72939;-49,23766;74850320;-16,72939;-49,23766
74630190;-16,66405;-49,23060;74630190;-16,66405;-49,23060
74356190;-16,80349;-49,38360;74356190;-16,80349;-49,38360
74870100;-16,72921;-49,22881;74870100;-16,72921;-49,22881
74325230;-16,71196;-49,31705;74474251;-16,63627;-49,33118
74603020;-16,68745;-49,24305;74603020;-16,68745;-49,24305
74493192;-16,66024;-49,37869;74450010;-16,66497;-49,32938
74330030;-16,70364;-49,31474;74330030;-16,70364;-49,31474
74495200;-16,67540;-49,38157;74420030;-16,68385;-49,32365
74440420;-16,66234;-49,30407;74440420;-16,66234;-49,30407
74770400;-16,66128;-49,19055;74000000;-16,81463;-49,42526
74413120;-16,69044;-49,30432;74413120;-16,69044;-49,30432
74481140;-16,61207;-49,33689;74375660;-16,69680;-49,33345
74780280;-16,65195;-49,18890;74780280;-16,65195;-49,18890
74463780;-16,64768;-49,33584;74463780;-16,64768;-49,33584
74460130;-16,66333;-49,34010;74080330;-16,68672;-49,25613
74484711;-16,70744;-49,37245;74280185;-16,71191;-49,27584
74357663;-16,79708;-49,36042;74357651;-16,79596;-49,36368
74643100;-16,66956;-49,24614;74643100;-16,66956;-49,24614
74483210;-16,69384;-49,35951;74483210;-16,69384;-49,35951
74890794;-16,75668;-49,19414;74890794;-16,75668;-49,19414
74473570;-16,63042;-49,32748;74473570;-16,63042;-49,32748
74475729;-16,58820;-49,31801;74475729;-16,58820;-49,31801
74210115;-16,68150;-49,29049;74210115;-16,68150;-49,29049
74565020;-16,64684;-49,27244;74565020;-16,64684;-49,27244
74890350;-16,74743;-49,20134;74845350;-16,72134;-49,24305
74890350;-16,74743;-49,20134;74845350;-16,72134;-49,24305
74580660;-16,65275;-49,29272;74580660;-16,65275;-49,29272
74563330;-16,65453;-49,27214;74255220;-16,71028;-49,29496
74565400;-16,63711;-49,27179;74565400;-16,63711;-49,27179
74684235;-16,60017;-49,21178;74403010;-16,68029;-49,30305
74440560;-16,66163;-49,30546;74440340;-16,65693;-49,29787
74305320;-16,69477;-49,29549;74115030;-16,68945;-49,26775
74643040;-16,67078;-49,24713;74643040;-16,67078;-49,24713
74477088;-16,59856;-49,35125;74655295;-16,65112;-49,25726
74495612;-16,68616;-49,38721;74495612;-16,68616;-49,38721
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843
74884537;-16,70187;-49,20492;74884537;-16,70187;-49,20492
74884537;-16,70187;-49,20492;74884537;-16,70187;-49,20492
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74453300;-16,66370;-49,33237;74453300;-16,66370;-49,33237
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761
74603190;-16,68250;-49,24676;74884537;-16,70187;-49,20492
74884537;-16,70187;-49,20492;74884537;-16,70187;-49,20492
74884537;-16,70187;-49,20492;74884537;-16,70187;-49,20492
74884537;-16,70187;-49,20492;74884537;-16,70187;-49,20492
74884537;-16,70187;-49,20492;74884537;-16,70187;-49,20492
74884537;-16,70187;-49,20492;74884537;-16,70187;-49,20492
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74815420;-16,71002;-49,24325;74884537;-16,70187;-49,20492
74815420;-16,71002;-49,24325;74884537;-16,70187;-49,20492
74815420;-16,71002;-49,24325;74884537;-16,70187;-49,20492
74815420;-16,71002;-49,24325;74884537;-16,70187;-49,20492
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74475115;-16,62948;-49,32823
